camera_number,lat,lng,address,barrio,type,domes,fixed,lpr,corridor,school_corridor,monitoring
1000,-34.961977,-57.934857,Calle 32 esquina 30,Ringuelet,Pública (Municipal),3,1,2,Ruta 3,TRUE,TRUE
1001,-34.987942,-57.867829,Calle 139 esquina 101,San Carlos,Pública (Municipal),3,3,0,Ruta 12,TRUE,FALSE
1002,-34.880668,-57.945566,Calle 93 esquina 68,Gonnet,Pública (Municipal),1,2,0,Ruta 8,TRUE,FALSE
1003,-35.055936,-57.858164,Calle 107 esquina 108,Zona Norte,Pública (Municipal),1,2,1,Ruta 9,TRUE,TRUE
1004,-35.068717,-57.991808,Calle 116 esquina 134,Los Hornos,Pública (Municipal),1,3,2,Ruta 9,FALSE,TRUE
1005,-35.051851,-58.101459,Calle 26 esquina 128,Zona Norte,Pública (Municipal),2,4,2,Ruta 8,FALSE,TRUE
1006,-35.010162,-57.853244,Calle 115 esquina 16,Centro,Pública (Municipal),3,1,0,Ruta 7,FALSE,FALSE
1007,-35.034754,-57.825771,Calle 33 esquina 76,Parque Saavedra,Pública (Municipal),1,1,2,Ruta 13,TRUE,FALSE
1008,-34.851344,-57.976952,Calle 144 esquina 140,Zona Norte,Pública (Municipal),3,3,1,Ruta 15,TRUE,FALSE
1009,-35.017184,-57.883769,Calle 135 esquina 59,Zona Norte,Pública (Municipal),3,2,0,Ruta 12,TRUE,FALSE
1010,-34.951450,-57.889992,Calle 110 esquina 44,Ringuelet,Pública (Municipal),1,4,1,Ruta 16,FALSE,FALSE
1011,-35.036951,-57.861959,Calle 120 esquina 93,Zona Norte,Pública (Municipal),2,2,0,Ruta 13,FALSE,FALSE
1012,-34.790326,-58.100668,Calle 139 esquina 80,Villa Elvira,Pública (Municipal),1,3,2,Ruta 15,TRUE,FALSE
1013,-34.918109,-57.968304,Calle 108 esquina 17,Zona Norte,Pública (Municipal),2,1,2,Ruta 19,FALSE,FALSE
1014,-34.940334,-58.092501,Calle 103 esquina 34,Zona Norte,Pública (Municipal),1,3,2,Ruta 2,FALSE,TRUE
1015,-34.810999,-58.059627,Calle 27 esquina 11,Nueva República,Pública (Municipal),3,1,1,Ruta 8,TRUE,TRUE
1016,-34.958688,-58.100487,Calle 142 esquina 63,San Carlos,Pública (Municipal),2,4,2,Ruta 2,TRUE,TRUE
1017,-34.786887,-58.068095,Calle 44 esquina 84,San Carlos,Pública (Municipal),2,2,0,Ruta 12,TRUE,FALSE
1018,-34.992786,-57.838992,Calle 35 esquina 97,Gonnet,Pública (Municipal),1,3,2,Ruta 14,FALSE,FALSE
