nombre,lat,lng,estado,barrio
Semáforo 1,-34.838343,-58.010042,inactivo,Oeste
Semáforo 2,-35.014672,-57.909832,inactivo,Zona Norte
Semáforo 3,-35.001502,-58.099816,mantenimiento,Ringuelet
Semáforo 4,-34.991047,-58.062856,mantenimiento,Barrio Universitario
Semáforo 5,-35.051441,-58.085874,mantenimiento,Zona Norte
Semáforo 6,-35.028241,-57.870020,mantenimiento,Zona Sur
Semáforo 7,-34.831784,-57.977489,inactivo,Barrio Universitario
Semáforo 8,-34.785134,-58.003272,mantenimiento,Villa Elvira
Semáforo 9,-35.062338,-58.098528,activo,Oeste
Semáforo 10,-35.021922,-58.082097,inactivo,Nueva República
Semáforo 11,-34.975693,-57.829575,mantenimiento,Abella
Semáforo 12,-35.061325,-57.903600,activo,Villa Elvira
Semáforo 13,-34.841445,-57.854084,inactivo,Gonnet
Semáforo 14,-34.831732,-57.925045,mantenimiento,Centro
Semáforo 15,-34.908837,-57.868102,mantenimiento,Los Hornos
Semáforo 16,-34.967331,-58.069020,mantenimiento,Los Hornos
Semáforo 17,-34.942559,-57.945992,inactivo,Ringuelet
Semáforo 18,-34.934747,-57.956544,inactivo,Parque Saavedra
Semáforo 19,-34.782726,-57.919562,inactivo,Los Hornos
Semáforo 20,-34.838534,-57.843593,mantenimiento,Ángel Etcheverry
Semáforo 21,-35.056765,-57.834015,mantenimiento,Ángel Etcheverry
Semáforo 22,-35.021480,-57.980619,mantenimiento,Gonnet
Semáforo 23,-34.878597,-58.103092,mantenimiento,Barrio Universitario
Semáforo 24,-34.983687,-58.044488,activo,Villa Elvira
Semáforo 25,-34.800776,-57.886777,mantenimiento,Villa Elvira
Semáforo 26,-35.010813,-57.812216,mantenimiento,Villa Elvira
Semáforo 27,-34.930538,-57.982887,activo,Zona Sur
Semáforo 28,-35.002577,-57.832366,mantenimiento,Zona Norte
Semáforo 29,-34.890203,-58.065699,mantenimiento,Zona Norte
Semáforo 30,-35.027753,-57.825014,inactivo,Zona Sur
Semáforo 31,-34.933490,-58.059824,mantenimiento,Zona Sur
Semáforo 32,-34.882489,-57.946330,inactivo,Los Hornos
Semáforo 33,-35.067035,-57.805607,mantenimiento,Centro
Semáforo 34,-34.980181,-57.827307,inactivo,San Carlos
Semáforo 35,-34.796438,-58.078089,inactivo,Villa Elvira
Semáforo 36,-34.848054,-58.080703,mantenimiento,Zona Sur
Semáforo 37,-34.849034,-58.082598,inactivo,Parque Saavedra
Semáforo 38,-34.896905,-58.003647,activo,Villa Elvira
Semáforo 39,-34.939845,-57.883307,mantenimiento,Zona Norte
Semáforo 40,-35.059684,-57.858279,mantenimiento,Este
Semáforo 41,-34.985119,-58.042899,mantenimiento,Barrio Universitario
Semáforo 42,-34.937151,-57.980345,inactivo,Este
Semáforo 43,-34.959295,-57.858574,inactivo,San Carlos
Semáforo 44,-34.825784,-58.094444,mantenimiento,Los Hornos
Semáforo 45,-34.853698,-57.925283,activo,Barrio Universitario
Semáforo 46,-34.965327,-57.980507,inactivo,Zona Norte
Semáforo 47,-35.047558,-57.970715,mantenimiento,Ringuelet
Semáforo 48,-35.039827,-58.074159,mantenimiento,Oeste
Semáforo 49,-35.052552,-57.968811,inactivo,Este
Semáforo 50,-34.879755,-57.819222,activo,Este
Semáforo 51,-34.847232,-58.073914,inactivo,Abella
Semáforo 52,-35.034354,-57.871771,mantenimiento,Gonnet
Semáforo 53,-34.991433,-57.820491,mantenimiento,Oeste
Semáforo 54,-34.965212,-57.977903,mantenimiento,Parque Saavedra
Semáforo 55,-34.885735,-57.894972,activo,Centro
Semáforo 56,-35.019606,-57.866634,activo,Centro
Semáforo 57,-34.816891,-57.897001,inactivo,Oeste
Semáforo 58,-34.826152,-57.940437,mantenimiento,Ringuelet
Semáforo 59,-34.866750,-57.890841,inactivo,Villa Elvira
Semáforo 60,-34.988498,-57.818643,inactivo,Ángel Etcheverry
Semáforo 61,-35.029258,-58.084612,inactivo,San Carlos
Semáforo 62,-34.865564,-57.822201,mantenimiento,Villa Elvira
Semáforo 63,-34.779554,-57.915919,activo,Parque Saavedra
Semáforo 64,-35.006151,-58.081028,activo,Villa Elvira
Semáforo 65,-34.801298,-57.992179,inactivo,Parque Saavedra
Semáforo 66,-34.974609,-57.901388,activo,Ringuelet
Semáforo 67,-34.932644,-57.937756,mantenimiento,Gonnet
Semáforo 68,-34.816369,-57.982119,activo,Barrio Universitario
Semáforo 69,-35.063591,-57.844140,inactivo,Abella
Semáforo 70,-34.831843,-57.910976,inactivo,Gonnet
Semáforo 71,-34.934784,-58.052817,mantenimiento,Tolosa
Semáforo 72,-35.043896,-57.857206,inactivo,Oeste
Semáforo 73,-34.972183,-58.068153,mantenimiento,Ringuelet
Semáforo 74,-34.980276,-58.100066,activo,Centro
Semáforo 75,-34.872343,-57.954643,mantenimiento,Los Hornos
Semáforo 76,-35.007403,-57.848594,inactivo,Tolosa
Semáforo 77,-34.839650,-58.042734,inactivo,Ringuelet
Semáforo 78,-34.941509,-57.927720,activo,Zona Norte
Semáforo 79,-34.948055,-57.985157,inactivo,Barrio Universitario
Semáforo 80,-35.064336,-57.921027,activo,San Carlos
Semáforo 81,-34.949977,-57.950530,inactivo,Tolosa
Semáforo 82,-35.043138,-58.027176,mantenimiento,Centro
Semáforo 83,-35.015737,-58.014761,inactivo,Tolosa
Semáforo 84,-34.788448,-57.925392,inactivo,Barrio Universitario
Semáforo 85,-35.014856,-57.918980,mantenimiento,Parque Saavedra
Semáforo 86,-34.848318,-57.997045,activo,Ringuelet
Semáforo 87,-35.004136,-58.019441,inactivo,Zona Norte
Semáforo 88,-34.923426,-58.058513,inactivo,Oeste
Semáforo 89,-35.006058,-57.891133,mantenimiento,Villa Elvira
Semáforo 90,-35.068211,-57.898384,inactivo,Gonnet
Semáforo 91,-35.063502,-58.036428,mantenimiento,Ángel Etcheverry
Semáforo 92,-34.872870,-58.062824,activo,Zona Norte
Semáforo 93,-35.005414,-57.848459,activo,Zona Norte
Semáforo 94,-34.820847,-57.886049,inactivo,Nueva República
Semáforo 95,-34.890522,-57.823012,mantenimiento,Parque Saavedra
Semáforo 96,-34.852425,-57.831251,mantenimiento,Zona Norte
Semáforo 97,-34.828666,-57.982566,activo,Villa Elvira
Semáforo 98,-34.886227,-57.968563,inactivo,Este
Semáforo 99,-34.858785,-57.850940,inactivo,Ángel Etcheverry
Semáforo 100,-34.884847,-58.041848,activo,Tolosa
Semáforo 101,-34.914826,-58.001715,mantenimiento,Zona Norte
Semáforo 102,-34.889873,-57.867306,activo,Abella
Semáforo 103,-35.040006,-57.940022,activo,Zona Norte
Semáforo 104,-34.993328,-58.007106,inactivo,Gonnet
Semáforo 105,-34.904528,-58.010130,activo,San Carlos
Semáforo 106,-34.875518,-57.921501,mantenimiento,Zona Norte
Semáforo 107,-35.058762,-57.918624,mantenimiento,Zona Sur
Semáforo 108,-34.889360,-57.854560,activo,Villa Elvira
