lat,lng,fecha,resultado,observaciones,año
-34.841138,-57.973246,2026-02-01,Recuperado,San Carlos,2024
-35.005829,-57.886169,2023-07-24,Hallazgo de Automotor,Los Hornos,2023
-34.938136,-57.893844,2025-02-10,Intervencion Policial,Centro,2024
-35.051512,-57.873890,2025-03-15,Asiste Policia y Libera,Centro,2023
-34.882486,-57.829121,2024-05-22,Sin Recurso Policial,Ringuelet,2023
-34.908876,-58.082742,2026-01-15,Intervencion Policial,Gonnet,2024
-34.797797,-58.030503,2023-06-24,Sin Recurso Policial,Zona Norte,2023
-34.870407,-57.832563,2026-01-07,Asiste Policia y Libera,Tolosa,2024
-34.810596,-58.085581,2025-12-01,Intervencion Policial,Centro,2023
-35.020080,-58.043871,2024-01-25,Asiste Policia y Libera,Nueva República,2024
-34.860853,-58.041031,2026-03-31,Hallazgo de Automotor,Abella,2023
-34.831065,-57.909422,2024-06-07,Hallazgo de Automotor,Centro,2023
-35.058455,-57.883332,2024-10-14,Hallazgo de Automotor,Abella,2024
-34.812055,-58.090029,2024-05-17,Sin Recurso Policial,Tolosa,2024
-34.831071,-57.862672,2026-02-09,Recuperado,Nueva República,2024
-35.032189,-58.093641,2024-01-01,Intervencion Policial,Ringuelet,2024
-34.981704,-58.051781,2024-01-08,Recuperado,Este,2023
-34.789255,-57.886781,2026-04-15,Intervencion Policial,Nueva República,2024
-35.054361,-58.024825,2025-10-08,Sin Recurso Policial,Los Hornos,2023
-34.891568,-57.934518,2025-09-07,Hallazgo de Automotor,Este,2024
-34.962488,-58.026056,2024-09-30,Intervencion Policial,Centro,2024
-34.778556,-57.905719,2023-06-26,Recuperado,Zona Sur,2023
-34.885434,-57.945120,2024-07-17,Recuperado,Los Hornos,2023
-34.788932,-57.810522,2025-02-06,Hallazgo de Automotor,Nueva República,2023
-34.824983,-57.905682,2025-02-25,Hallazgo de Automotor,Tolosa,2023
-35.004033,-57.847640,2023-02-14,Sin Recurso Policial,Ringuelet,2023
-34.917235,-57.856824,2025-08-02,Intervencion Policial,Gonnet,2023
-34.830707,-58.021959,2023-09-07,Asiste Policia y Libera,Zona Sur,2023
-34.833168,-57.907410,2023-10-15,Sin Recurso Policial,Ringuelet,2023
-34.815854,-57.810508,2025-11-09,Recuperado,Ringuelet,2023
-34.940097,-57.943645,2026-02-22,Sin Recurso Policial,San Carlos,2024
-34.780944,-57.892693,2026-02-08,Sin Recurso Policial,Oeste,2024
-34.890459,-57.893614,2024-06-03,Hallazgo de Automotor,San Carlos,2024
-35.026483,-58.051851,2024-11-18,Asiste Policia y Libera,Oeste,2024
-34.858049,-58.020804,2023-04-13,Hallazgo de Automotor,Parque Saavedra,2023
-34.960332,-57.812553,2024-10-31,Asiste Policia y Libera,Zona Sur,2024
-34.996337,-57.989876,2025-04-16,Sin Recurso Policial,Zona Norte,2024
-34.801848,-58.042966,2026-03-07,Sin Recurso Policial,Parque Saavedra,2024
-34.815325,-57.827921,2026-02-24,Intervencion Policial,Zona Norte,2024
-34.785991,-57.961367,2023-09-28,Asiste Policia y Libera,Abella,2023
-35.000994,-57.970640,2024-02-05,Sin Recurso Policial,Este,2023
-34.945340,-57.876239,2024-04-15,Asiste Policia y Libera,Zona Norte,2023
-34.955924,-57.845967,2025-01-27,Sin Recurso Policial,San Carlos,2023
-34.923690,-58.061451,2023-09-08,Hallazgo de Automotor,Ángel Etcheverry,2023
-35.043230,-57.865460,2024-04-29,Recuperado,Abella,2024
-34.952574,-57.824099,2024-04-15,Sin Recurso Policial,Este,2023
-35.013674,-57.994285,2024-06-16,Asiste Policia y Libera,Gonnet,2024
-35.026681,-57.885320,2023-05-04,Sin Recurso Policial,San Carlos,2023
-34.861485,-58.037492,2024-12-12,Recuperado,Zona Sur,2024
-34.991898,-57.828975,2026-03-09,Sin Recurso Policial,Nueva República,2024
-35.067782,-58.009488,2024-06-18,Hallazgo de Automotor,Zona Norte,2023
-35.057912,-58.024717,2025-06-20,Intervencion Policial,Villa Elvira,2024
-34.886212,-57.807823,2023-12-18,Recuperado,Abella,2023
-34.934302,-57.816487,2026-02-17,Asiste Policia y Libera,Gonnet,2024
-34.903004,-57.855832,2023-12-20,Recuperado,San Carlos,2023
-34.836087,-57.979288,2025-06-20,Recuperado,Este,2024
-35.017396,-58.038338,2024-10-26,Sin Recurso Policial,Gonnet,2023
-34.815291,-57.922729,2025-01-31,Recuperado,Villa Elvira,2024
-34.844875,-57.933091,2024-07-08,Recuperado,Este,2023
-35.013834,-57.848720,2024-10-01,Hallazgo de Automotor,Nueva República,2024
-34.871136,-57.905023,2026-01-07,Intervencion Policial,Villa Elvira,2024
-34.886395,-58.088707,2026-03-03,Asiste Policia y Libera,Zona Sur,2023
-34.972276,-58.045932,2024-07-07,Hallazgo de Automotor,Parque Saavedra,2023
-34.905794,-58.092162,2025-04-10,Sin Recurso Policial,Tolosa,2024
-34.854662,-57.991505,2026-04-10,Intervencion Policial,Ángel Etcheverry,2024
-35.065794,-58.071210,2024-01-27,Recuperado,Nueva República,2023
-34.918583,-58.070600,2025-01-26,Sin Recurso Policial,San Carlos,2023
-34.944702,-57.969019,2024-01-30,Recuperado,Nueva República,2024
-34.906768,-57.842971,2025-02-17,Intervencion Policial,Oeste,2024
-35.023665,-57.900482,2024-02-11,Recuperado,Centro,2024
-34.958509,-57.875293,2025-06-13,Intervencion Policial,Oeste,2024
-34.881255,-58.035959,2025-01-02,Asiste Policia y Libera,Nueva República,2023
-34.920170,-57.922784,2024-03-08,Hallazgo de Automotor,Parque Saavedra,2023
-34.886565,-58.042614,2026-01-08,Hallazgo de Automotor,Gonnet,2024
-34.951165,-57.910904,2024-02-18,Hallazgo de Automotor,Zona Sur,2024
-35.044822,-58.021842,2023-05-14,Recuperado,Zona Sur,2023
-35.041739,-57.920418,2026-03-10,Intervencion Policial,Centro,2024
-34.867575,-57.866987,2025-03-29,Asiste Policia y Libera,San Carlos,2023
-35.058086,-57.839629,2025-04-26,Intervencion Policial,Nueva República,2024
-34.863192,-57.984883,2025-05-06,Intervencion Policial,Los Hornos,2023
-35.067640,-58.011830,2026-04-30,Recuperado,Oeste,2024
-34.887525,-57.892433,2025-05-24,Recuperado,Villa Elvira,2024
-35.067378,-58.014408,2024-01-25,Intervencion Policial,Oeste,2023
-34.856371,-57.977476,2024-09-13,Intervencion Policial,Barrio Universitario,2023
-35.012490,-57.827470,2025-04-28,Hallazgo de Automotor,Zona Sur,2024
-35.002529,-57.898988,2025-03-13,Sin Recurso Policial,San Carlos,2024
-34.948340,-57.837724,2025-05-02,Recuperado,Villa Elvira,2024
-34.985671,-57.881100,2024-06-04,Sin Recurso Policial,Villa Elvira,2024
-34.816619,-57.975973,2023-01-28,Hallazgo de Automotor,San Carlos,2023
-34.834397,-57.821156,2025-11-01,Sin Recurso Policial,Centro,2023
-34.792551,-57.942573,2023-05-20,Intervencion Policial,Este,2023
-35.046941,-58.008929,2025-06-27,Recuperado,Nueva República,2024
-34.840995,-57.849923,2025-02-08,Asiste Policia y Libera,San Carlos,2024
-34.896182,-57.826600,2025-09-16,Sin Recurso Policial,Abella,2023
-34.993860,-57.982611,2025-02-02,Hallazgo de Automotor,Zona Sur,2024
-34.920939,-57.828595,2024-01-12,Hallazgo de Automotor,Abella,2024
-34.815546,-57.876274,2025-12-16,Hallazgo de Automotor,Este,2024
-35.014198,-57.854256,2024-03-17,Recuperado,Gonnet,2023
-34.818427,-57.813896,2025-06-02,Recuperado,Abella,2024
-34.943579,-57.852005,2023-10-10,Asiste Policia y Libera,Este,2023
-35.039172,-57.981814,2024-07-19,Sin Recurso Policial,Zona Sur,2024
-34.845993,-57.930010,2025-06-19,Asiste Policia y Libera,San Carlos,2024
-34.921716,-57.998938,2023-04-18,Intervencion Policial,Abella,2023
-35.025276,-57.912556,2024-10-29,Hallazgo de Automotor,Villa Elvira,2023
-34.846725,-57.839232,2025-02-05,Recuperado,Ángel Etcheverry,2024
-35.053597,-57.983687,2024-04-27,Sin Recurso Policial,Zona Sur,2023
-34.889434,-57.832927,2024-04-07,Sin Recurso Policial,Barrio Universitario,2023
-34.804505,-57.933065,2024-06-18,Recuperado,Oeste,2024
-34.975278,-57.956795,2025-10-14,Asiste Policia y Libera,Abella,2024
-34.808357,-57.948751,2025-11-02,Recuperado,San Carlos,2023
-35.042082,-57.845842,2024-02-18,Recuperado,Parque Saavedra,2024
-34.924721,-58.035410,2024-10-08,Asiste Policia y Libera,Este,2023
