lat,lng,nombre,hora,descripcion_tipo,fecha,causa,participantes,descripcion,barrio
-34.928165,-57.946514,Siniestro 1,06:11,accidente,2026-05-13,EV,COL,Evento de tráfico en La Plata #1,Centro
-34.940623,-57.965145,Siniestro 2,06:05,accidente,2026-05-13,D,COL,Evento de tráfico en La Plata #2,Etcheverry
-34.968804,-57.993346,Siniestro 3,04:37,accidente,2026-05-13,D,A/P,Evento de tráfico en La Plata #3,Ringuelet
-34.897802,-57.959002,Siniestro 4,15:58,accidente,2026-05-13,EV,COL,Evento de tráfico en La Plata #4,Centro
-34.915095,-57.987239,Siniestro 5,03:04,accidente,2026-05-13,D,A/P,Evento de tráfico en La Plata #5,Nordelta
-34.930041,-57.958391,Siniestro 6,09:12,accidente,2026-05-13,EV,COL,Evento de tráfico en La Plata #6,Centro
-34.963224,-57.998019,Siniestro 7,04:57,accidente,2026-05-13,EV,A/P,Evento de tráfico en La Plata #7,Gonnet
-34.937048,-57.920537,Siniestro 8,19:38,accidente,2026-05-13,D,COL,Evento de tráfico en La Plata #8,Abasto
-34.898361,-57.978947,Siniestro 9,13:26,accidente,2026-05-13,MI,A/P,Evento de tráfico en La Plata #9,Los Hornos
-34.908062,-57.957505,Siniestro 10,07:56,accidente,2026-05-13,D,A/P,Evento de tráfico en La Plata #10,Centro
-34.932361,-57.936037,Siniestro 11,14:03,accidente,2026-05-13,NR,A/P,Evento de tráfico en La Plata #11,Tolosa
-34.968399,-57.957032,Siniestro 12,13:11,accidente,2026-05-13,NR,A/P,Evento de tráfico en La Plata #12,Los Hornos
-34.900703,-57.971154,Siniestro 13,06:57,accidente,2026-05-13,MI,COL,Evento de tráfico en La Plata #13,Etcheverry
-34.968473,-57.981656,Siniestro 14,07:44,accidente,2026-05-13,D,COL,Evento de tráfico en La Plata #14,Villa Elvira
-34.894253,-57.940261,Siniestro 15,09:36,accidente,2026-05-13,D,B,Evento de tráfico en La Plata #15,Tolosa
-34.926269,-57.955828,Siniestro 16,17:39,accidente,2026-05-13,MI,B,Evento de tráfico en La Plata #16,Abasto
-34.939057,-57.971522,Siniestro 17,22:34,accidente,2026-05-13,D,COL,Evento de tráfico en La Plata #17,Gonnet
-34.923818,-57.962434,Siniestro 18,22:22,accidente,2026-05-13,NR,B,Evento de tráfico en La Plata #18,Villa Elvira
-34.965202,-57.998758,Siniestro 19,09:04,accidente,2026-05-13,NR,COL,Evento de tráfico en La Plata #19,Ringuelet
-34.948519,-57.931791,Siniestro 20,10:20,accidente,2026-05-13,MI,COL,Evento de tráfico en La Plata #20,Gonnet
-34.948908,-57.973758,Siniestro 21,15:14,accidente,2026-05-13,D,B,Evento de tráfico en La Plata #21,Los Hornos
-34.946077,-57.931515,Siniestro 22,05:48,accidente,2026-05-13,EV,A/P,Evento de tráfico en La Plata #22,Melchor Romero
-34.897396,-57.96635,Siniestro 23,17:14,accidente,2026-05-13,MI,A/P,Evento de tráfico en La Plata #23,Villa Elvira
-34.927767,-57.96375,Siniestro 24,21:38,accidente,2026-05-13,NR,B,Evento de tráfico en La Plata #24,Ringuelet
-34.940105,-57.960622,Siniestro 25,21:57,accidente,2026-05-13,MI,A/P,Evento de tráfico en La Plata #25,Los Hornos
-34.929742,-57.920808,Siniestro 26,11:39,accidente,2026-05-13,NR,COL,Evento de tráfico en La Plata #26,Villa Elvira
-34.909315,-57.977216,Siniestro 27,16:04,accidente,2026-05-13,D,A/P,Evento de tráfico en La Plata #27,Nordelta
-34.906913,-57.955237,Siniestro 28,17:43,accidente,2026-05-13,NR,A/P,Evento de tráfico en La Plata #28,Nordelta
-34.905596,-57.98485,Siniestro 29,01:24,accidente,2026-05-13,MI,COL,Evento de tráfico en La Plata #29,Centro
-34.896809,-57.968431,Siniestro 30,14:45,accidente,2026-05-13,MI,COL,Evento de tráfico en La Plata #30,Ringuelet
-34.96211,-57.972976,Siniestro 31,20:01,accidente,2026-05-13,MI,A/P,Evento de tráfico en La Plata #31,Ringuelet
-34.94983,-57.991368,Siniestro 32,00:32,accidente,2026-05-13,MI,B,Evento de tráfico en La Plata #32,Abasto
-34.917657,-57.949791,Siniestro 33,15:08,accidente,2026-05-13,EV,A/P,Evento de tráfico en La Plata #33,Melchor Romero
-34.950439,-57.953892,Siniestro 34,03:55,accidente,2026-05-13,D,COL,Evento de tráfico en La Plata #34,Los Hornos
-34.898441,-57.935504,Siniestro 35,18:02,accidente,2026-05-13,MI,COL,Evento de tráfico en La Plata #35,Villa Elvira
-34.932346,-57.967732,Siniestro 36,03:04,accidente,2026-05-13,NR,B,Evento de tráfico en La Plata #36,Etcheverry
-34.942844,-57.941837,Siniestro 37,04:14,accidente,2026-05-13,NR,B,Evento de tráfico en La Plata #37,Melchor Romero
-34.967248,-57.966465,Siniestro 38,00:48,accidente,2026-05-13,D,COL,Evento de tráfico en La Plata #38,Abasto
-34.950834,-57.9985,Siniestro 39,21:22,accidente,2026-05-13,MI,A/P,Evento de tráfico en La Plata #39,Nordelta
-34.896566,-57.96108,Siniestro 40,11:28,accidente,2026-05-13,MI,A/P,Evento de tráfico en La Plata #40,Ringuelet
-34.964195,-57.96554,Siniestro 41,03:02,accidente,2026-05-13,MI,COL,Evento de tráfico en La Plata #41,Gonnet
-34.951399,-57.944014,Siniestro 42,06:26,accidente,2026-05-13,MI,B,Evento de tráfico en La Plata #42,Villa Elvira
-34.942435,-57.920816,Siniestro 43,08:26,accidente,2026-05-13,MI,COL,Evento de tráfico en La Plata #43,Tolosa
-34.919323,-57.973714,Siniestro 44,09:51,accidente,2026-05-13,EV,A/P,Evento de tráfico en La Plata #44,Abasto
-34.892787,-57.922716,Siniestro 45,21:12,accidente,2026-05-13,NR,B,Evento de tráfico en La Plata #45,Nordelta
-34.959701,-57.955704,Siniestro 46,00:06,accidente,2026-05-13,NR,B,Evento de tráfico en La Plata #46,Etcheverry
-34.893087,-57.994467,Siniestro 47,22:05,accidente,2026-05-13,D,A/P,Evento de tráfico en La Plata #47,Etcheverry
-34.920525,-57.956445,Siniestro 48,12:55,accidente,2026-05-13,D,A/P,Evento de tráfico en La Plata #48,Melchor Romero
-34.910298,-57.952257,Siniestro 49,11:58,accidente,2026-05-13,D,B,Evento de tráfico en La Plata #49,Etcheverry
-34.898701,-57.952859,Siniestro 50,09:23,accidente,2026-05-13,D,B,Evento de tráfico en La Plata #50,Ringuelet
