lat,lng,fecha,resultado,observaciones,año
-34.9205,-57.9557,2024-01-15,Asiste Policia y Libera,Centro,2024
-34.9180,-57.9480,2024-01-15,Hallazgo de Automotor,Plaza Moreno,2024
-34.9295,-57.9620,2024-02-01,Sin Recurso Policial,Barrio Hipódromo,2024
-34.9100,-57.9400,2024-02-10,Intervencion Policial,Av. 7,2024
-34.9250,-57.9700,2023-11-20,Policia Asiste y Libera,San Martin,2023
-34.9150,-57.9550,2024-03-05,Seguimiento LPR,Centro Comercial,2024
-34.9220,-57.9580,2024-01-28,LPR Detencion,Av. 13,2024
-34.9175,-57.9465,2024-02-14,Asiste Policia y Libera,Diag. 73,2024
-34.9310,-57.9600,2024-03-20,Sin Recurso Policial,Barrio Sur,2024
-34.9090,-57.9520,2023-12-05,Hallazgo de Automotor,Parque Castelli,2023
-34.9240,-57.9670,2024-01-30,Intervencion Policial,Zona Industrial,2024
-34.9120,-57.9380,2024-02-18,Asiste Policia y Libera,Ruta Provincial,2024
-34.9270,-57.9540,2024-03-08,Seguimiento LPR,Av. 1,2024
-34.9165,-57.9490,2024-01-22,Policia Asiste y Libera,Plaza Italia,2024
-34.9300,-57.9680,2023-11-10,Sin Recurso Policial,Gonnet,2023
-34.9130,-57.9410,2024-02-26,Hallazgo de Automotor,Villa Elvira,2024
-34.9255,-57.9625,2024-03-15,LPR Detencion,Tolosa,2024
-34.9190,-57.9505,2024-01-17,Asiste Policia y Libera,Los Hornos,2024
-34.9280,-57.9560,2024-02-09,Intervencion Policial,Barrio Obrero,2024
-34.9105,-57.9445,2024-03-12,Seguimiento LPR,Barrio Universitario,2024
-34.9145,-57.9575,2023-12-30,Policia Asiste y Libera,Diagonal,2023
-34.9235,-57.9630,2024-01-25,Sin Recurso Policial,Nueva Esperanza,2024
-34.9210,-57.9485,2024-02-21,Hallazgo de Automotor,Villa Montoro,2024
-34.9160,-57.9520,2024-03-03,Asiste Policia y Libera,Los Tilos,2024
-34.9290,-57.9665,2024-01-19,LPR Detencion,Barrio Norte,2024
-34.9115,-57.9395,2024-02-28,Intervencion Policial,Bragado,2024
-34.9265,-57.9555,2024-03-18,Seguimiento LPR,Mariano Moreno,2024
-34.9175,-57.9495,2024-01-24,Asiste Policia y Libera,Circunvalacion,2024
-34.9295,-57.9610,2023-11-15,Sin Recurso Policial,San Carlos,2023
-34.9085,-57.9435,2024-02-12,Policia Asiste y Libera,Barrio Estación,2024
-34.9245,-57.9645,2024-03-22,Hallazgo de Automotor,Itatí,2024
-34.9125,-57.9375,2024-01-11,LPR Detencion,Matheu,2024
-34.9215,-57.9570,2024-02-07,Asiste Policia y Libera,República,2024
-34.9180,-57.9540,2024-03-10,Intervencion Policial,San Martín,2024
-34.9270,-57.9680,2024-01-29,Seguimiento LPR,Barrio Sur,2024
-34.9150,-57.9420,2023-12-08,Sin Recurso Policial,Zona Centro,2023
-34.9220,-57.9600,2024-02-03,Asiste Policia y Libera,Diagonal 113,2024
-34.9190,-57.9475,2024-03-06,Policia Asiste y Libera,Casco Urbano,2024
-34.9300,-57.9625,2024-01-31,Hallazgo de Automotor,La Paz,2024
-34.9095,-57.9460,2024-02-23,LPR Detencion,25 de Mayo,2024
