lat,lng,fecha,resultado,observaciones,año
-31.416,-64.189,2023-01-15,Asiste Policia y Libera,Centro - Av. Colón,2023
-31.419,-64.192,2023-01-18,Hallazgo Automotor,Barrio Nueva Córdoba,2023
-31.425,-64.175,2023-02-05,Persecucion Y Detencion,Zona Gen. Paz,2023
-31.432,-64.198,2023-02-10,Detencion,Barrio Güemes,2023
-31.410,-64.185,2023-03-01,Se Realiza Seguimiento del Evento,Centro Cívico,2023
-31.445,-64.200,2023-03-15,No Asiste,Zona Sur,2023
-31.420,-64.170,2023-04-02,Secuestro De Vehiculo,Barrio San Vicente,2023
-31.415,-64.195,2023-04-20,Asiste Bomberos,Ruta Nacional 9,2023
-31.435,-64.188,2023-05-08,Persecucion Y Perdida,Barrio Ituzaingó,2023
-31.428,-64.182,2023-06-12,Asiste Unidad Sanitaria y Traslada,Zona Este,2023
-31.440,-64.192,2024-01-05,Asiste Policia y Libera,Centro - Peatonal,2024
-31.422,-64.178,2024-01-12,Hallazgo Automotor,Barrio Flores,2024
-31.418,-64.205,2024-02-03,Persecucion Y Detencion,Zona Oeste,2024
-31.438,-64.190,2024-02-18,Detencion,Barrio Chacabuco,2024
-31.412,-64.188,2024-03-07,Se Realiza Seguimiento del Evento,Avenida Hipólito Yrigoyen,2024
-31.448,-64.195,2024-03-22,No Asiste,Barrio Ferreyra,2024
-31.425,-64.175,2024-04-10,Secuestro De Vehiculo,Zona Industrial,2024
-31.420,-64.200,2024-04-25,Asiste Policía y Libera,Camino a Alta Córdoba,2024
-31.433,-64.185,2024-05-14,Persecucion Y Perdida,Barrio San Martín,2024
-31.430,-64.192,2024-06-08,Asiste Unidad Sanitaria y Traslada,Zona Norte,2024
-31.414,-64.187,2024-07-01,Hallazgo Automotor,Barrio Junín,2024
-31.441,-64.198,2024-07-16,Detencion,Ruta E-63,2024
-31.427,-64.180,2024-08-02,Se Realiza Seguimiento del Evento,Centro - Catedral,2024
-31.416,-64.194,2024-08-19,Asiste Policia y Libera,Barrio Cofico,2024
-31.444,-64.188,2024-09-05,Persecucion Y Detencion,Zona Peatonal Centro,2024
