N ORDEN,N CAMARA,BARRIOS,SINIESTRO,DIRECCION SINIESTRO,FECHA,HORA,CODIGO PARTICIPANTES,CODIGOS CAUSAS,SEMAFOROS,,,,
1,513,Los Pinares,1,Zabala y Strobel,29/01/23,06:50:59,A/CAM,D,FALTA SUPERVISAR,,,,
2,262,Parque Luro,1,Falkner y F.U. Camet,29/01/23,01:04:07,M,NSD,FALTA SUPERVISAR,,,,
3,406,Santa Monica,1,Polonia y Magallanes,29/01/23,00:41:01,M,NSD,FALTA SUPERVISAR,,,,
4,112,Playa Grande,1,Alem y Rawson,28/01/23,16:48:59,A/M,NSD,FALTA SUPERVISAR,,,,
5,12,Santa Celina,1,Mario Bravo y Talcahuano,28/01/23,13:27:00,A,NSD,FALTA SUPERVISAR,,,,
6,411,San Jose,1,JJ Paso y La Rioja,28/01/23,13:09:59,A/M,D,FALTA SUPERVISAR,,,,
7,274,Punta Mogotes,1,De los Trabajadores y Carriego,28/01/23,11:08:00,CAM/B,NSD,FALTA SUPERVISAR,,,,
8,77,Don Emilio,1,Ruta 88 y Vertiz,27/01/23,22:30:00,A/M,VS,FALTA SUPERVISAR,,,,
9,23,Don Bosco,1,Colon y Marconi,27/01/23,20:23:00,A/M,NSD,FALTA SUPERVISAR,,,,
10,282,Colinas Peralta Ramos,1,Fortunato de la Plaza y PescaDores,27/01/23,20:20:59,A,NSD,FALTA SUPERVISAR,,,,
11,270,Bosque Peralta Ramos,1,Mario Bravo y Pacheco,27/01/23,14:06:59,B,PC,FALTA SUPERVISAR,,,,
12,78,El Progreso,1,Vertiz y Talcahuano,27/01/23,05:54:59,CAM/M,NSD,FALTA SUPERVISAR,,,,
13,209,Rumenco,1,Auto Newbery y Parravicini,26/01/23,14:24:00,A/M,NSD,FALTA SUPERVISAR,,,,
14,205,Lomas de Stella Maris,1,Bvd. P.P.Ramos y Mendoza,25/01/23,13:35:04,A,NSD,FALTA SUPERVISAR,,,,
15,479,San Jose,1,Independencia y Almafuerte,25/01/23,13:18:59,M,NSD,FALTA SUPERVISAR,,,,
16,141,Coronel Dorrego,1,Cnel Suarez y San Martin,25/01/23,09:30:00,CAM/B,NSD,FALTA SUPERVISAR,,,,
17,503,Parque Luro,1,Constitucion y Blaz Parera,24/01/23,17:26:59,A/M,MR,FALTA SUPERVISAR,,,,
18,30,Parque Luro,1,Constitucion y Chubut,24/01/23,16:35:00,A/M,NSD,FALTA SUPERVISAR,,,,
19,371,San Carlos,1,Larrea y Alem,23/01/23,15:41:31,A/B,NSD,FALTA SUPERVISAR,,,,
20,109,Villa Lourdes,1,12 de Octubre y Lanzilota,23/01/23,14:35:59,B,PC,FALTA SUPERVISAR,,,,
21,406,Santa Monica,1,Polonia e Irala,29/01/23,00:40:00,A/M,NSD,FALTA SUPERVISAR,,,,
22,706,Nueve de Julio,1,Luro y Champagnat ,22/01/23,23:11:59,A/M,NSD,FALTA SUPERVISAR,,,,
23,151,San Jose,1,R Pena y Cordoba,22/01/23,16:02:00,A,NSD,FALTA SUPERVISAR,,,,
24,328,Jorge Newbery,1,Luro y Venezuela,22/01/23,11:36:59,P,NSD,FALTA SUPERVISAR,,,,
25,578,Macrocentro,1,Bvd. P.P.Ramos y Olavarria,21/01/23,11:11:59,B,NSD,FALTA SUPERVISAR,,,,
26,585,Centro,1,Colon e H Yrigoyen,20/01/23,19:26:00,A/P,PI,FALTA SUPERVISAR,,,,
27,285,Termas Huinco ,1,Edison y Soler,20/01/23,18:21:02,A/M,NSD,FALTA SUPERVISAR,,,,
28,217,Zacagnini,1,Beltran y Roldan,20/01/23,03:55:59,A/M,NSD,FALTA SUPERVISAR,,,,
29,24,San Cayetano,1,Colon y Acosta,18/01/23,20:45:59,A/P,NSD,FALTA SUPERVISAR,,,,
30,702,San Jose,1,J B Justo e Independencia,17/01/23,22:01:59,M/M,PI,FALTA SUPERVISAR,,,,
31,116,El Gaucho,1,12 de Octubre y Vignolo,17/01/23,20:33:40,M,NSD,FALTA SUPERVISAR,,,,
32,127,Las Lilas,1,Alvarado y David Ortega,17/01/23,20:09:59,A,NSD,FALTA SUPERVISAR,,,,
33,599,Libertad,1,Berrutti y Portugal,17/01/23,16:00:59,M/P,PI,FALTA SUPERVISAR,,,,
34,80,Macrocentro,1,PP Ramos y Moreno,17/01/23,12:47:59,A/P,NSD,FALTA SUPERVISAR,,,,
35,55,Sarmiento,1,P Luro y T Bronzini,17/01/23,09:03:59,A/P,D,FALTA SUPERVISAR,,,,
36,290,Termas Huinco,1,Fortunato de la Plaza y Cerrito,17/01/23,07:09:00,A/M,NSD,FALTA SUPERVISAR,,,,
37,381,Lomas de Stella Maris,1,Colon y P J De Galindez,17/01/23,16:38:59,P,NSD,FALTA SUPERVISAR,,,,
38,270,Bosque Peralta Ramos,1,Mario Bravo y Colombres,16/01/23,13:20:59,B,NSD,FALTA SUPERVISAR,,,,
39,93,Los Troncos,1,Alvarado yGuemes,16/01/23,08:17:59,A/M,NSD,FALTA SUPERVISAR,,,,
40,304,Florentino Ameghino,1,T. Edison y J. B. Justo,15/01/23,19:03:00,A/A,D,FALTA SUPERVISAR,,,,
41,284,Colinas Peralta Ramos,1,T. Edison y Sicilia,15/01/23,12:05:59,A/P,D,FALTA SUPERVISAR,,,,
42,39,Punta Mogotes,1,Cabrera y De los Trabajadores,14/01/23,19:37:00,A/M,NSD,FALTA SUPERVISAR,,,,
43,13,Malvinas Argentinas,1,A Alio e Ituzaingo,14/01/23,14:22:48,CAM/M,G,FALTA SUPERVISAR,,,,
44,244,Juramento,1,Edison y Mario Bravo,14/01/23,11:28:59,A/P,D,FALTA SUPERVISAR,,,,
45,241,Nuevo Golf,1,Cerrito y Calle 79,13/01/23,11:03:59,A/M,NSD,FALTA SUPERVISAR,,,,
46,390,El Progreso,1,J. P. Ramos y Bouchard,13/01/23,04:38:59,CAM/A,G,FALTA SUPERVISAR,,,,
47,701,Aeroparque,1,Constitucion y Ruta 2,12/01/23,08:42:59,A/M,NSD,FALTA SUPERVISAR,,,,
48,706,Villa Primera,1,Champagnat y Libertad,12/01/23,07:47:59,CTA/M,FV,FALTA SUPERVISAR,,,,
49,61,Puerto,1,12 de Octubre y De los TrabajaDores,12/01/23,12:02:59,M,NSD,FALTA SUPERVISAR,,,,
50,75,Villa Lourdes,1,Vertiz y PosaDas,11/01/23,10:26:59,M,NSD,FALTA SUPERVISAR,,,,
51,627,Punta Mogotes,1,De los Trabajadores y Carasa,11/01/23,03:17:59,M,PC,FALTA SUPERVISAR,,,,
52,375,San Carlos,1,J. J. Paso y Rivas,10/01/23,23:16:59,A/M,NSD,FALTA SUPERVISAR,,,,
53,585,Centro,1,Colon y Catamarca,10/01/23,13:20:59,A/P,NSD,FALTA SUPERVISAR,,,,
54,475,Belisario Roldan,1,Armenia y General Roca,10/01/23,00:12:59,M/M,NSD,FALTA SUPERVISAR,,,,
55,700,San Juan,1,Colon y Salta,09/01/23,16:27:59,M,MR,FALTA SUPERVISAR,,,,
56,274,Punta Mogotes,1,De los Trabajadores y Racedo,08/01/23,23:35:59,A,PC,FALTA SUPERVISAR,,,,
57,279,Termas Huinco,1,Fortunato de la Plaza y Acha,07/01/23,22:27:58,A,NSD,FALTA SUPERVISAR,,,,
58,483,Don Bosco,1,Italia y Bolivar,06/01/23,21:28:58,A,NSD,FALTA SUPERVISAR,,,,
59,707,Sarmiento,1,Luro y Marconi,06/01/23,18:37:59,M/B,NSD,FALTA SUPERVISAR,,,,
60,78,El Progreso,1,Talcahuano y Azopardo,06/01/23,18:40:59,M,NSD,FALTA SUPERVISAR,,,,
