N CAMARA,DIRECCION,FECHA,DIA,HORA,PART,TOTAL
306,Quintana y Patricio Peralta Ramos,12/10/2022,sabado,06 a 07,auto,1434
306,Quintana y Patricio Peralta Ramos,12/10/2022,sabado,06 a 07,moto,54
306,Quintana y Patricio Peralta Ramos,12/10/2022,sabado,06 a 07,bici,12
306,Quintana y Patricio Peralta Ramos,12/10/2022,sabado,06 a 07,colectivo,12
306,Quintana y Patricio Peralta Ramos,12/10/2022,sabado,06 a 07,camiones,0
23,Colon y Jara ,11/02/2022,miercoles,06 a 07,auto,620
23,Colon y Jara ,11/02/2022,miercoles,06 a 07,moto,102
23,Colon y Jara ,11/02/2022,miercoles,06 a 07,bici,94
23,Colon y Jara ,11/02/2022,miercoles,06 a 07,colectivo,18
23,Colon y Jara ,11/02/2022,miercoles,06 a 07,camiones,28
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,06 a 07,auto,515
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,06 a 07,moto,69
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,06 a 07,bici,35
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,06 a 07,colectivo,10
262,F. U. Camet y Rio Negro,05/22/2024,miercoles,06 a 07,camiones,19
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,07 a 08,auto,1296
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,07 a 08,moto,75
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,07 a 08,bici,34
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,07 a 08,colectivo,19
285,Tripulantes Fournier y Edison ,05/03/2023,miercoles,07 a 08,camiones,22
58,Luro e Italia,12/07/2022,miercoles,07 a 08,auto,780
58,Luro e Italia,12/07/2022,miercoles,07 a 08,moto,76
58,Luro e Italia,12/07/2022,miercoles,07 a 08,bici,40
58,Luro e Italia,12/07/2022,miercoles,07 a 08,colectivo,60
58,Luro e Italia,12/07/2022,miercoles,07 a 08,camiones,16
493,Ruta 11 y Toscana,11/02/2023,jueves,07 a 08,auto,940
493,Ruta 11 y Toscana,11/02/2023,jueves,07 a 08,moto,30
493,Ruta 11 y Toscana,11/02/2023,jueves,07 a 08,bici,4
493,Ruta 11 y Toscana,11/02/2023,jueves,07 a 08,colectivo,14
493,Ruta 11 y Toscana,11/02/2023,jueves,07 a 08,camiones,0
493,Ruta 11 y Toscana,10/31/2022,lunes,07 a 08,auto,892
493,Ruta 11 y Toscana,10/31/2022,lunes,07 a 08,moto,20
493,Ruta 11 y Toscana,10/31/2022,lunes,07 a 08,bici,2
493,Ruta 11 y Toscana,10/31/2022,lunes,07 a 08,colectivo,12
493,Ruta 11 y Toscana,10/31/2022,lunes,07 a 08,camiones,8
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,auto,495
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,moto,9
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,bici,6
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,colectivo,12
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,camiones,12
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,auto,495
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,moto,9
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,bici,6
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,colectivo,21
493,Ruta 11 y Toscana,01/04/2023,miercoles,07 a 08,camiones,6
589,Ruta 11 y Scaglia,10/25/2022,martes,07 a 08,auto,1336
589,Ruta 11 y Scaglia,10/25/2022,martes,07 a 08,moto,36
589,Ruta 11 y Scaglia,10/25/2022,martes,07 a 08,bici,12
589,Ruta 11 y Scaglia,10/25/2022,martes,07 a 08,colectivo,24
589,Ruta 11 y Scaglia,10/25/2022,martes,07 a 08,camiones,16
589,Ruta 11 y Scaglia,02/08/2023,miercoles,07 a 08,auto,1101
589,Ruta 11 y Scaglia,02/08/2023,miercoles,07 a 08,moto,36
589,Ruta 11 y Scaglia,02/08/2023,miercoles,07 a 08,bici,6
589,Ruta 11 y Scaglia,02/08/2023,miercoles,07 a 08,colectivo,27
589,Ruta 11 y Scaglia,02/08/2023,miercoles,07 a 08,camiones,20
589,Ruta 11 y Scaglia,12/21/2022,miercoles,07 a 08,auto,1461
589,Ruta 11 y Scaglia,12/21/2022,miercoles,07 a 08,moto,110
589,Ruta 11 y Scaglia,12/21/2022,miercoles,07 a 08,bici,37
589,Ruta 11 y Scaglia,12/21/2022,miercoles,07 a 08,colectivo,21
589,Ruta 11 y Scaglia,12/21/2022,miercoles,07 a 08,camiones,35
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,07 a 08,auto,1552
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,07 a 08,moto,76
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,07 a 08,bici,30
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,07 a 08,colectivo,25
684,Ruta 2 y Rotonda Aeroparque,10/31/2022,lunes,07 a 08,camiones,83
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,07 a 08,auto,1068
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,07 a 08,moto,48
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,07 a 08,bici,22
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,07 a 08,colectivo,39
684,Ruta 2 y Rotonda Aeroparque,01/06/2023,viernes,07 a 08,camiones,156
684,Ruta 2 y Rotonda Aeroparque,01/27/2023,viernes,07 a 08,auto,1385
684,Ruta 2 y Rotonda Aeroparque,01/27/2023,viernes,07 a 08,moto,78
684,Ruta 2 y Rotonda Aeroparque,01/27/2023,viernes,07 a 08,bici,22
684,Ruta 2 y Rotonda Aeroparque,01/27/2023,viernes,07 a 08,colectivo,32
684,Ruta 2 y Rotonda Aeroparque,01/27/2023,viernes,07 a 08,camiones,84
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,07 a 08,auto,1412
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,07 a 08,moto,60
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,07 a 08,bici,32
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,07 a 08,colectivo,16
306,Quintana y Patricio Peralta Ramos,12/10/2022,s?bado,07 a 08,camiones,0
532,Luro y Leguizamon,10/05/2022,miercoles,07 a 08,auto,1335
532,Luro y Leguizamon,10/05/2022,miercoles,07 a 08,moto,137
