lat,lng,fecha,resultado,observaciones
-38.032577,-57.5876566,2023-01-01,Asiste Policia y Libera,Carasa
-38.012543,-57.5816004,2023-01-01,Asiste Policia y Libera,Solis
-38.077284,-57.5496172,2023-01-01,Asiste Policia y Libera,Medrano
-38.035406,-57.5910995,2023-01-01,Asiste Policia y Libera,Calabria
-37.982754,-57.5843333,2023-01-01,Detencion,Mariano Acosta
-38.000392,-57.5562156,2023-01-01,Asiste Policia y Libera,Salta
-38.045428,-57.5897238,2023-01-01,Se Realiza Seguimiento del Evento,Del Riego
-38.045428,-57.5897238,2023-01-01,Persecucion Y Detencion,Matteotti
-38.01497,-57.5650424,2023-01-01,Se Realiza Seguimiento del Evento,Hipolito Yrigoyen
-37.965546,-57.5534873,2023-01-01,Asiste Policia y Libera,Jose Ingenieros
-38.033857,-57.5661656,2023-01-01,No Asiste,Hernandarias
-38.008686,-57.5332108,2023-01-01,Asiste Policia y Libera,Patricio Peralta Ramos
-37.963516,-57.557689,2023-01-01,Asiste Policia y Libera,Marcos Sastre
-37.985445,-57.6035806,2023-01-01,Asiste Policia y Libera,Castelli
-38.025842,-57.5897057,2023-01-01,Asiste Policia y Libera,Castex
-37.999032,-57.5521837,2023-01-01,Asiste Policia y Libera,La Rioja
-37.995545,-57.5522649,2023-01-01,Hallazgo Automotor,Veinticinco de 05
-38.010088,-57.5371577,2023-01-01,Asiste Policia y Libera,Falucho
-38.00127,-57.5455517,2023-01-01,Hallazgo Automotor,Corrientes
-37.956048,-57.5458781,2023-01-01,Asiste Policia y Libera,Esquiu
-37.961495,-57.5616779,2023-01-01,Asiste Policia y Libera,Lijo Lopez
-38.01326,-57.5397985,2023-01-01,Asiste Policia y Libera,Falucho
-38.030205,-57.569149,2023-01-01,Asiste Policia y Libera,Juan B Justo
-38.0189,-57.5711611,2023-01-01,Asiste Policia y Libera,Jacinto Peralta Ramos
-38.01314,-57.5665124,2023-01-01,Asiste Policia y Libera,Independencia
-37.974118,-57.5943871,2023-01-01,Asiste Policia y Libera,Termas De Rio Hondo
-38.011097,-57.592101,2023-01-01,Asiste Policia y Libera,Polonia
-38.011749,-57.5427843,2023-01-01,Asiste Policia y Libera,Sarmiento
-38.015361,-57.5400556,2023-01-01,Asiste Policia y Libera,Guemes
-37.974359,-57.5804727,2023-01-01,Asiste Policia y Libera,Mariano Acosta
-38.00571,-57.59577,2023-01-01,Asiste Policia y Libera,Doce de 10
-38.008369,-57.5583275,2023-01-01,Asiste Policia y Libera,Alvarado
-38.00127,-57.5455517,2023-01-01,Asiste Policia y Libera,Corrientes
-37.981067,-57.6100177,2023-01-01,Asiste Policia y Libera,Chilabert
