Real,Evento,año,mes,Tipo de Evento,Origen,N.º Cámara,Cámaras,Direccion 0,Direccion,Resultado,CIUDAD,PROVINCIA,PAIS,ENLACE,Longitud y Latitud,,,
21,1,2023,1,Robo/Hurto Automotor,CATE 911,79,CON,Jacinto Peralta Ramos,Carasa,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jacinto Peralta Ramos y Carasa , Buenos Aires , Argentina,-38.032577, -57.5876566
42,1,2023,1,Robo/Hurto Automotor,CATE 911,602,CON,Ratery,Solis,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Ratery y Solis , Buenos Aires , Argentina,-38.012543, -57.5816004
128,1,2023,1,Robo/Hurto Automotor,CATE 911,273,CON,Mario Bravo,Medrano,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Mario Bravo y Medrano , Buenos Aires , Argentina,-38.077284, -57.5496172
130,1,2023,1,Robo/Hurto Automotor,CATE 911,296,CON,Jacinto Peralta Ramos,Calabria,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jacinto Peralta Ramos y Calabria , Buenos Aires , Argentina,-38.035406, -57.5910995
274,1,2023,1,Robo/Hurto Automotor,CATE 911,586,CON,Belgrano,Mariano Acosta,Detencion,Mar del Plata,Buenos Aires,Argentina,Belgrano y Mariano Acosta , Buenos Aires , Argentina,-37.982754, -57.5843333
281,1,2023,1,Robo/Hurto Automotor,CATE 911,700,CON,Avenida Colon,Salta,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Colon y Salta , Buenos Aires , Argentina,-38.000392, -57.5562156
289,1,2023,1,Robo/Hurto Automotor,ORIGEN DIFERIDO,297,CON,Benito Lynch,Del Riego,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,Benito Lynch y Del Riego , Buenos Aires , Argentina,-38.045428, -57.5897238
293,1,2023,1,Robo/Hurto Automotor,CATE 911,297,CON,Benito Lynch,Matteotti,Persecucion Y Detencion,Mar del Plata,Buenos Aires,Argentina,Benito Lynch y Matteotti , Buenos Aires , Argentina,-38.045428, -57.5897238
310,1,2023,1,Robo/Hurto Automotor,ORIGEN DIFERIDO,559,CON,Formosa,Hipolito Yrigoyen,Se Realiza Seguimiento del Evento,Mar del Plata,Buenos Aires,Argentina,Formosa y Hipolito Yrigoyen , Buenos Aires , Argentina,-38.014970, -57.5650424
456,1,2023,1,Robo/Hurto Automotor,CATE 911,30,CON,Aragon,Jose Ingenieros,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Aragon y Jose Ingenieros , Buenos Aires , Argentina,-37.965546, -57.5534873
478,1,2023,1,Robo/Hurto Automotor,CATE 911,349,CON,San Antonio,Hernandarias,No Asiste,Mar del Plata,Buenos Aires,Argentina,San Antonio y Hernandarias , Buenos Aires , Argentina,-38.033857, -57.5661656
516,1,2023,1,Robo/Hurto Automotor,CATE 911,205,CON,Mendoza,Patricio Peralta Ramos,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Mendoza y Patricio Peralta Ramos , Buenos Aires , Argentina,-38.008686, -57.5332108
564,1,2023,1,Robo/Hurto Automotor,CATE 911,449,CON,Constitucion,Marcos Sastre,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Constitucion y Marcos Sastre , Buenos Aires , Argentina,-37.963516, -57.557689
576,1,2023,1,Robo/Hurto Automotor,CATE 911,16,CON,Arturo Alio,Castelli,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Arturo Alio y Castelli , Buenos Aires , Argentina,-37.985445, -57.6035806
702,1,2023,1,Robo/Hurto Automotor,CATE 911,462,CON,De La Plaza,Castex,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,De La Plaza y Castex , Buenos Aires , Argentina,-38.025842, -57.5897057
941,1,2023,1,Robo/Hurto Automotor,CATE 911,544,CON,Belgrano,La Rioja,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Belgrano y La Rioja , Buenos Aires , Argentina,-37.999032, -57.5521837
1174,1,2023,1,Robo/Hurto Automotor,CATE 911,596,CON,Independencia,Veinticinco de 05,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Independencia y Veinticinco de 05 , Buenos Aires , Argentina,-37.995545, -57.5522649
1237,1,2023,1,Robo/Hurto Automotor,CATE 911,204,CON,Guemes,Falucho,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Guemes y Falucho , Buenos Aires , Argentina,-38.010088, -57.5371577
1543,1,2023,1,Robo/Hurto Automotor,CATE 911,111,CON,Rivadavia,Corrientes,Hallazgo Automotor,Mar del Plata,Buenos Aires,Argentina,Rivadavia y Corrientes , Buenos Aires , Argentina,-38.001270, -57.5455517
1569,1,2023,1,Robo/Hurto Automotor,CATE 911,245,CON,Jose M Estrada,Esquiu,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Jose M Estrada y Esquiu , Buenos Aires , Argentina,-37.956048, -57.5458781
1638,1,2023,1,Robo/Hurto Automotor,CATE 911,812,CON,Ortega Y Gasset,Lijo Lopez,Asiste Policia y Libera,Mar del Plata,Buenos Aires,Argentina,Ortega Y Gasset y Lijo Lopez , Buenos Aires , Argentina,-37.961495, -57.5616779
