lat,lng,nombre,causa,participantes,fecha,descripcion
-31.413,-64.2052,Belgrano 800,D,P,05/23/2024,Siniestro vial
-31.4187,-64.2043,Condarco 300,NR,PERRO/CTA/B,09/18/2024,Siniestro vial
-31.4074,-64.1378,Formosa 1000,AV,P/BOMBEROS,09/29/2024,Colisión por alcance
-31.4132,-64.1725,Formosa 1400,MI,PATRULLA/CTA,04/03/2024,Falta de iluminación nocturna
-31.4123,-64.144,Neuquén 850,FV,M,07/05/2024,Falta de visibilidad por polvareda
-31.4014,-64.2017,San Juan 2350,G,BOMBEROS/MONOPATIN,11/19/2024,Giro en zona prohibida
-31.3953,-64.1791,Caseros 1800,P,CABALLO/A,11/16/2024,Peatón distraído
-31.3884,-64.1897,9 de Julio 400,A,CABALLO,07/07/2024,Atropello sin respeto de semáforo
-31.4046,-64.1365,Av. Recorridas 1400,NSD,M,08/06/2024,No respeta paso de peatones
-31.3856,-64.1817,Av. Leandro N. Alem y Belgrano,DF,AMB/A/MONOPATIN,07/10/2024,Siniestro vial
-31.3988,-64.1831,Av. General Paz 950,EV,CAM,11/16/2024,Accidente por exceso de velocidad
-31.3893,-64.1521,San Juan y Ituzaingó,NR,POLICIA,08/10/2024,Siniestro vial
-31.4271,-64.1383,Corrientes 1000,G,BOMBEROS/MONOPATIN,07/08/2024,Giro en zona prohibida
-31.4068,-64.1389,Belgrano y Junín,NR,A/POLICIA/PATRULLA,10/07/2024,Siniestro vial
-31.4377,-64.1924,Av. Hipólito Yrigoyen 2000,MI,B,09/25/2024,Falta de iluminación nocturna
-31.4013,-64.2119,Belgrano 300,P,CTA/A,04/27/2024,Peatón imprudente cruzando
-31.3982,-64.1773,Belgrano y Junín,NR,M/A/B,08/23/2024,Siniestro vial
-31.4122,-64.1785,Av. Colón y Entre Ríos,AV,B,06/26/2024,Choque lateral
-31.3861,-64.2065,Calle 5 1250,IC,BOMBEROS/AMB/MONOPATIN,08/31/2024,Siniestro vial
-31.3861,-64.1528,Calle 3 1050,EV,COL/MONOPATIN/A,06/13/2024,Accidente por exceso de velocidad
-31.3928,-64.1868,Av. Hipólito Yrigoyen y La Rioja,P,M,09/18/2024,Peatón distraído
-31.4365,-64.1801,Avenida Donato Álvarez 1550,?,A/PERRO/CABALLO,08/29/2024,Siniestro vial
-31.4014,-64.1359,Pueyrredón y San Luis,G,MONOPATIN/COL,07/04/2024,Giro en zona prohibida
-31.3894,-64.2141,Bv. Martín Rodríguez 1250,EV,PERRO,06/25/2024,Pérdida de control por velocidad
-31.3991,-64.2124,Entre Ríos 500,D,BOMBEROS,04/09/2024,Siniestro vial
-31.4231,-64.1597,Av. Leandro N. Alem 200,D,COL/AMB/POLICIA,04/13/2024,Siniestro vial
-31.4017,-64.2117,27 de Abril 750,D,COL/CAM,08/22/2024,Siniestro vial
-31.4239,-64.1796,Córdoba 1600,VS,P,06/24/2024,Siniestro vial
-31.426,-64.1793,Av. Leandro N. Alem y Belgrano,P,COL/PERRO,07/08/2024,Cruce indebido de peatón
-31.4249,-64.1385,Rivadavia 1650,MR,MONOPATIN,10/21/2024,Siniestro vial
-31.4356,-64.1734,Bv. Martín Rodríguez 1750,IC,COL,05/17/2024,Siniestro vial
-31.4247,-64.1843,Rivadavia y Duarte Quirós,?,COL/A,09/14/2024,Siniestro vial
-31.3862,-64.2027,Pueyrredón y San Luis,DF,PATRULLA,09/09/2024,Siniestro vial
-31.3915,-64.2173,Marcelo T. de Alvear 1750,DF,B/POLICIA,09/08/2024,Siniestro vial
-31.4147,-64.2162,Formosa 1000,DESCOMPENSAN,M/COL/PERRO,05/04/2024,Siniestro vial
-31.4147,-64.1505,Córdoba 1400,EV,MONOPATIN,09/03/2024,Accidente por exceso de velocidad
-31.4209,-64.1763,Pueyrredón 1250,P,MONOPATIN,05/03/2024,Peatón imprudente cruzando
-31.434,-64.1883,Rivadavia 1500,FV,CABALLO/PERRO,09/13/2024,Falta de visibilidad por polvareda
-31.4249,-64.2122,Entre Ríos 1100,EV,PATRULLA/BOMBEROS/M,04/17/2024,Choque a alta velocidad
-31.4003,-64.1775,Calle 2 2300,EV,B/CTA/BOMBEROS,10/20/2024,Accidente por exceso de velocidad
-31.3975,-64.1813,Av. Colón y Entre Ríos,A,M/COL/AMB,04/04/2024,Atropello de peatón
-31.4216,-64.1745,9 de Julio y Marcelo T. de Alvear,D,CAM,07/16/2024,Siniestro vial
-31.4166,-64.2066,Rivadavia 600,MR,POLICIA/CAM,09/01/2024,Siniestro vial
-31.4106,-64.1528,Av. Argentina y Corrientes,IC,AMB,12/18/2024,Siniestro vial
-31.4089,-64.1932,Vélez Sársfield 1500,MI,PERRO,07/17/2024,Falta de iluminación nocturna
-31.4343,-64.1946,Ituzaingó 1450,G,AMB,10/15/2024,Giro sin señalizar
-31.4361,-64.2143,Caseros 2000,FV,PERRO/POLICIA,10/28/2024,Falta de visibilidad por niebla
-31.4375,-64.1869,Av. Leandro N. Alem 1850,DESCOMPENSAN,CTA,12/08/2024,Siniestro vial
-31.4095,-64.2199,Rivadavia 650,A,BOMBEROS,08/27/2024,Atropello fatal
-31.4194,-64.1843,Presidente Roca 1350,PERSECUCIÓN,CTA/AMB/POLICIA,10/04/2024,Siniestro vial
-31.4131,-64.1699,Belgrano y Junín,NR,CABALLO,08/27/2024,Siniestro vial
-31.3943,-64.173,Río Negro 1450,PC,COL/B,07/17/2024,Conductor distraído
-31.4187,-64.1503,Av. Circunvalación 2250,G,M/COL,04/02/2024,Giro sin señalizar
-31.4144,-64.1726,San Juan y Ituzaingó,?,CTA,04/06/2024,Siniestro vial
-31.3868,-64.1456,Marcelo T. de Alvear 1200,PC,PATRULLA/M,10/04/2024,Conductor cansado
-31.4119,-64.1701,Mendoza 2150,NSD,POLICIA/PATRULLA,06/13/2024,No se detiene en ALTO
-31.4037,-64.1756,Misiones 700,NR,P,10/25/2024,Siniestro vial
-31.393,-64.2176,Caseros 1700,AV,B,07/06/2024,Choque en intersección
-31.4307,-64.197,Junín 1950,MI,CABALLO/MONOPATIN,09/10/2024,Mala iluminación del vehículo
-31.4128,-64.1976,Av. Colón y Entre Ríos,D,CTA,09/12/2024,Siniestro vial
-31.4318,-64.1806,Avenida Donato Álvarez 2400,DESCOMPENSAN,COL/BOMBEROS/POLICIA,05/17/2024,Siniestro vial
-31.4017,-64.2065,Río Negro 2000,P,AMB/CTA/PATRULLA,09/02/2024,Peatón distraído
-31.3939,-64.1759,Av. Leandro N. Alem y Belgrano,PI,M,12/11/2024,Siniestro vial
-31.4175,-64.1835,Junín 300,AV,CTA/CAM,12/25/2024,Colisión por alcance
-31.409,-64.1718,Presidente Roca 650,DF,CTA,04/21/2024,Siniestro vial
-31.4291,-64.1807,Av. Circunvalación 2400,PERSECUCIÓN,A/CAM/POLICIA,09/29/2024,Siniestro vial
-31.4252,-64.136,Calle 4 2050,NR,CABALLO/COL/B,12/06/2024,Siniestro vial
-31.4192,-64.213,Pueyrredón 1500,NR,CAM/PATRULLA/A,06/12/2024,Siniestro vial
-31.39,-64.2115,Belgrano 600,AV,POLICIA/CTA/COL,04/15/2024,Choque frontal entre dos vehículos
-31.42,-64.195,Av. Leandro N. Alem y Belgrano,P,PATRULLA/CABALLO/POLICIA,04/15/2024,Peatón imprudente cruzando
-31.4224,-64.1837,Vélez Sársfield y Caseros,VS,PERRO/MONOPATIN/BOMBEROS,05/29/2024,Siniestro vial
-31.4019,-64.1664,Av. Argentina y Corrientes,AV,M,06/12/2024,Colisión por alcance
-31.4125,-64.1944,Entre Ríos 850,NSD,PATRULLA/CABALLO/CAM,10/10/2024,No se detiene en ALTO
-31.4214,-64.1915,Rivadavia 700,MR,CTA/POLICIA,09/11/2024,Siniestro vial
-31.4123,-64.1772,Vélez Sársfield 950,VS,AMB,06/21/2024,Siniestro vial
-31.438,-64.1948,Av. Colón y Entre Ríos,A,M/PERRO/BOMBEROS,07/26/2024,Atropello con lesiones
-31.4155,-64.2137,Calle 4 650,PI,M/CTA,11/14/2024,Siniestro vial
-31.4271,-64.1526,9 de Julio y Marcelo T. de Alvear,IC,AMB/CTA,09/20/2024,Siniestro vial
-31.4073,-64.2072,Mitre 250,MI,AMB/COL,07/01/2024,Mala iluminación del vehículo
-31.4145,-64.2047,Fray Luis Beltrán 1650,?,COL/MONOPATIN/AMB,10/05/2024,Siniestro vial
-31.3864,-64.207,Avenida Donato Álvarez 1450,VS,P/M,12/29/2024,Siniestro vial
-31.3954,-64.1637,Caseros 800,NR,M/CAM,11/21/2024,Siniestro vial
-31.3868,-64.1797,Avenida Donato Álvarez 2050,MI,P/COL,04/20/2024,Mala iluminación del vehículo
-31.3965,-64.1738,Santa Fe 2200,EV,M/POLICIA/PERRO,04/12/2024,Accidente por exceso de velocidad
-31.4275,-64.1796,Santa Fe 950,PERSECUCIÓN,POLICIA/MONOPATIN,11/20/2024,Siniestro vial
-31.3865,-64.1451,Mitre 1200,FV,MONOPATIN/CAM,09/27/2024,Falta de visibilidad por niebla
-31.4399,-64.1858,Avenida Donato Álvarez 300,G,POLICIA/CAM/CTA,08/04/2024,Giro sin señalizar
-31.4386,-64.1917,Belgrano 1600,?,PERRO/P,07/16/2024,Siniestro vial
-31.4114,-64.1677,Chubut 1550,PERSECUCIÓN,MONOPATIN/PATRULLA/POLICIA,07/24/2024,Siniestro vial
-31.4314,-64.1507,Rivadavia y Duarte Quirós,NR,A/CABALLO/PERRO,12/23/2024,Siniestro vial
-31.3873,-64.1505,Caseros 100,?,P/CTA,07/07/2024,Siniestro vial
-31.4048,-64.176,9 de Julio y Marcelo T. de Alvear,IC,CABALLO/CAM/M,09/02/2024,Siniestro vial
-31.3973,-64.2124,Bv. Martín Rodríguez 1350,FV,CABALLO/CTA/PATRULLA,10/22/2024,Falta de visibilidad por lluvia
-31.3872,-64.1435,Av. Leandro N. Alem y Belgrano,PERSECUCIÓN,BOMBEROS/M,10/16/2024,Siniestro vial
